date,weekly_sales
2022-05-29,203
2022-06-05,254
2022-06-12,310
2022-06-19,321
2022-06-26,427
2022-07-03,360
2022-07-10,1897
2022-07-17,314
2022-07-24,398
2022-07-31,374
2022-08-07,472
2022-08-14,1463
2022-08-21,2346
2022-08-28,7653
2022-09-04,1072
2022-09-11,7130
2022-09-18,5198
2022-09-25,3179
2022-10-02,690
2022-10-09,2852
2022-10-16,1330
2022-10-23,1722
2022-10-30,2089
2022-11-06,1748
2022-11-13,892
2022-11-20,1393
2022-11-27,2583
2022-12-04,2163
2022-12-11,1789
2022-12-18,1299
2022-12-25,744
2023-01-01,1812
2023-01-08,1468
2023-01-15,2036
2023-01-22,2150
2023-01-29,2033
2023-02-05,1495
2023-02-12,1185
2023-02-19,883
2023-02-26,3046
2023-03-05,2134
2023-03-12,1087
2023-03-19,1949
2023-03-26,2525
2023-04-02,1374
2023-04-09,1287
2023-04-16,1597
2023-04-23,5942
2023-04-30,5529
2023-05-07,1682
2023-05-14,1769
2023-05-21,2391
2023-05-28,3216
2023-06-04,3098
2023-06-11,4298
2023-06-18,1809
2023-06-25,1678
2023-07-02,4537
2023-07-09,7470
2023-07-16,4068
2023-07-23,1510
2023-07-30,1762
2023-08-06,3449
2023-08-13,1783
2023-08-20,1945
2023-08-27,2118
2023-09-03,6300
2023-09-10,5517
2023-09-17,3181
2023-09-24,6264
2023-10-01,4280
2023-10-08,1655
2023-10-15,1436
2023-10-22,1640
2023-10-29,2404
2023-11-05,2859
2023-11-12,1678
2023-11-19,1589
2023-11-26,2300
2023-12-03,2441
2023-12-10,4301
2023-12-17,6706
2023-12-24,3442
2023-12-31,2006
2024-01-07,2199
2024-01-14,3083
2024-01-21,2279
2024-01-28,4882
2024-02-04,2339
2024-02-11,1716
2024-02-18,1481
2024-02-25,2262
2024-03-03,3465
2024-03-10,2405
2024-03-17,11816
2024-03-24,6976
2024-03-31,3340
2024-04-07,3257
2024-04-14,2672
2024-04-21,9236
2024-04-28,4424
2024-05-05,1707
2024-05-12,2135
2024-05-19,2129
2024-05-26,2060
2024-06-02,2306
2024-06-09,7492
2024-06-16,7257
2024-06-23,2325
2024-06-30,1551
2024-07-07,3492
2024-07-14,8716
2024-07-21,4530
2024-07-28,1731
2024-08-04,1656
2024-08-11,1871
2024-08-18,1986
2024-08-25,2501
2024-09-01,2342
